Time (s),Torque (Nm),Position (°),Velocity (°/s)
0.003524956,0,59.9927,-4.87949
0.005543967,0,59.9754,-9.79289
0.007531957,0,59.9487,-14.6298
0.009542424,0,59.9119,-19.5201
0.011532570,0,59.8658,-24.3589
0.013531762,0,59.8099,-29.2174
0.015531891,0,59.7441,-34.0752
0.017531694,0,59.6687,-38.9289
0.019525198,0,59.5839,-43.7635
0.021534613,0,59.4886,-48.6323
0.023534123,0,59.3841,-53.4723
0.025519490,0,59.2708,-58.2727
0.027535496,0,59.1459,-63.1413
0.029533876,0,59.0125,-67.961
0.031534238,0,58.8694,-72.7786
0.033533784,0,58.7166,-77.5869
0.035533381,0,58.5543,-82.3874
0.037533462,0,58.3823,-87.1807
0.039536233,0,58.2005,-91.9714
0.041532794,0,58.0097,-96.7378
0.043538242,0,57.8086,-101.515
0.045533865,0,57.5989,-106.259
0.047533818,0,57.3792,-111.002
0.049533707,0,57.1501,-115.732
0.051533905,0,56.9116,-120.452
0.053533137,0,56.6637,-125.156
0.055533511,0,56.4063,-129.849
0.057533215,0,56.1396,-134.527
0.059544886,0,55.8619,-139.218
0.061533571,0,55.5782,-143.84
0.063533631,0,55.2835,-148.472
0.065533122,0,54.9797,-153.087
0.067532976,0,54.6667,-157.685
0.069532954,0,54.3445,-162.266
0.071533736,0,54.0129,-166.83
0.073533163,0,53.6726,-171.372
0.075533240,0,53.323,-175.895
0.077526752,0,52.9657,-180.384
0.079534586,0,52.5967,-184.883
0.081520688,0,52.2229,-189.311
0.083525272,0,51.8367,-193.758
0.085521351,0,51.4434,-198.163
0.087521291,0,51.0405,-202.552
0.089521451,0,50.6288,-206.916
0.091605537,0,50.1905,-211.437
0.093542796,0,49.7748,-215.613
0.095531304,0,49.3397,-219.873
0.097517724,0,48.8966,-224.101
0.099534433,0,48.4382,-228.364
0.101532840,0,47.9756,-232.559
0.103530970,0,47.5046,-236.723
0.105516988,0,47.0284,-240.83
0.107601760,0,46.5196,-245.108
0.109543589,0,46.0379,-249.06
0.111531280,0,45.5369,-253.073
0.113535233,0,45.0237,-257.083
0.115534884,0,44.5036,-261.05
0.117534882,0,43.9756,-264.981
0.119588888,0,43.4252,-268.979
0.121580873,0,42.8836,-272.817
0.123534701,0,42.3451,-276.545
0.125527020,0,41.7885,-280.306
0.127533192,0,41.2206,-284.053
0.129530784,0,40.6476,-287.742
0.131523465,0,40.0688,-291.379
0.133530765,0,39.4784,-294.999
0.135618723,0,38.8567,-298.718
0.137554650,0,38.2734,-302.12
0.139581936,0,37.6556,-305.637
0.141580301,0,37.0397,-309.056
0.143579875,0,36.4166,-312.429
0.145581293,0,35.7863,-315.756
0.147535245,0,35.1647,-318.955
0.149534433,0,34.5222,-322.178
0.151534649,0,33.873,-325.351
0.153534159,0,33.2177,-328.469
0.155534606,0,32.556,-331.536
0.157587711,0,31.8706,-334.626
0.159604011,0,31.1914,-337.604
0.161589166,0,30.5169,-340.479
0.163534114,0,29.8506,-343.241
0.165534078,0,29.16,-346.024
0.167580652,0,28.4475,-348.811
0.169593345,0,27.7414,-351.49
0.171589418,0,27.0359,-354.086
0.173598472,0,26.3207,-356.637
0.175584023,0,25.6089,-359.095
0.177582877,0,24.8875,-361.508
0.179588187,0,24.159,-363.863
0.181534165,0,23.4477,-366.086
0.183579652,0,22.6954,-368.356
0.185586780,0,21.9528,-370.516
0.187605828,0,21.2015,-372.62
0.189534483,0,20.48,-374.564
0.191532741,0,19.7286,-376.512
0.193535476,0,18.9717,-378.394
0.195533115,0,18.2131,-380.202
0.197532261,0,17.4504,-381.94
0.199532304,0,16.684,-383.608
0.201532424,0,15.9143,-385.203
0.203532657,0,15.1415,-386.726
0.205532382,0,14.366,-388.176
0.207532532,0,13.5875,-389.552
0.209534489,0,12.8057,-390.855
0.211540053,0,12.02,-392.086
0.213577530,0,11.2193,-393.259
0.215579421,0,10.4304,-394.334
0.217580126,0,9.63994,-395.333
0.219533767,0,8.86628,-396.234
0.221578658,0,8.05468,-397.1
0.223581014,0,7.25838,-397.869
0.225533779,0,6.48044,-398.544
0.227585844,0,5.66162,-399.174
0.229583227,0,4.8635,-399.709
0.231533314,0,4.08337,-400.155
0.233579909,0,3.26381,-400.544
0.235590826,0,2.45789,-400.846
0.237582767,0,1.65909,-401.067
0.239596939,0,0.851041,-401.211
0.241578857,0,0.0557714,-401.274
0.243533764,0,-0.728672,-401.261
0.245589414,0,-1.55339,-401.166
0.247580897,0,-2.35206,-400.995
0.249534031,0,-3.13491,-400.751
0.251578811,0,-3.95385,-400.416
0.253605625,0,-4.7648,-400.004
0.255577344,0,-5.5528,-399.524
0.257578554,0,-6.35149,-398.961
0.259582418,0,-7.15,-398.318
0.261533686,0,-7.92621,-397.617
0.263579995,0,-8.73862,-396.804
0.265580672,0,-9.53119,-395.931
0.267532992,0,-10.3028,-395.004
0.269593444,0,-11.1151,-393.948
0.271577504,0,-11.8951,-392.855
0.273533150,0,-12.6617,-391.704
0.275532980,0,-13.4432,-390.453
0.277533450,0,-14.2223,-389.128
0.279588782,0,-15.0199,-387.689
0.281578328,0,-15.789,-386.222
0.283590153,0,-16.5637,-384.665
0.285582060,0,-17.3275,-383.051
0.287595384,0,-18.0961,-381.348
0.289584651,0,-18.8521,-379.594
0.291595389,0,-19.6126,-377.751
0.293579188,0,-20.3592,-375.862
0.295581085,0,-21.1087,-373.888
0.297587199,0,-21.8556,-371.84
0.299577342,0,-22.5925,-369.741
0.301603832,0,-23.3385,-367.536
0.303528658,0,-24.0428,-365.378
0.305579754,0,-24.7886,-363.012
0.307599684,0,-25.5182,-360.616
0.309577996,0,-26.2281,-358.205
0.311533115,0,-26.9248,-355.762
0.313585108,0,-27.6508,-353.134
0.315578451,0,-28.3508,-350.519
0.317532724,0,-29.032,-347.897
0.319532465,0,-29.7236,-345.155
0.321578518,0,-30.4254,-342.288
0.323578038,0,-31.1055,-339.428
0.325599112,0,-31.7871,-336.48
0.327592101,0,-32.4533,-333.515
0.329595624,0,-33.1169,-330.48
0.331531878,0,-33.7525,-327.494
0.333538624,0,-34.4049,-324.348
0.335530059,0,-35.0461,-321.173
0.337514879,0,-35.6788,-317.957
0.339515246,0,-36.3099,-314.665
0.341529006,0,-36.9385,-311.302
0.343531490,0,-37.5568,-307.907
0.345528767,0,-38.1666,-304.474
0.347518413,0,-38.7672,-301.007
0.349528149,0,-39.3668,-297.459
0.351528261,0,-39.9564,-293.883
0.353598884,0,-40.5591,-290.134
0.355610227,0,-41.1371,-286.448
0.357536350,0,-41.6837,-282.877
0.359534704,0,-42.2434,-279.132
0.361532285,0,-42.7953,-275.348
0.363532779,0,-43.3404,-271.518
0.365577128,0,-43.8894,-267.565
0.367581191,0,-44.4197,-263.651
0.369581073,0,-44.9411,-259.708
0.371581766,0,-45.4547,-255.728
0.373532311,0,-45.9478,-251.813
0.375581853,0,-46.4575,-247.664
0.377516719,0,-46.931,-243.715
0.379516795,0,-47.4123,-239.6
0.381516171,0,-47.8851,-235.455
0.383516076,0,-48.3497,-231.279
0.385515962,0,-48.806,-227.071
0.387516021,0,-49.2538,-222.835
0.389515943,0,-49.693,-218.569
0.391516071,0,-50.1237,-214.276
0.393515784,0,-50.5458,-209.956
0.395516025,0,-50.9592,-205.609
0.397515982,0,-51.3639,-201.238
0.399515875,0,-51.7597,-196.841
0.401515809,0,-52.1468,-192.421
0.403515228,0,-52.5248,-187.979
0.405515852,0,-52.8942,-183.511
0.407515646,0,-53.2545,-179.023
0.409515849,0,-53.6058,-174.514
0.411515764,0,-53.948,-169.985
0.413515689,0,-54.2811,-165.436
0.415515819,0,-54.6052,-160.867
0.417515681,0,-54.92,-156.281
0.419515671,0,-55.2257,-151.677
0.421515607,0,-55.5221,-147.056
0.423515846,0,-55.8093,-142.418
0.425515564,0,-56.0871,-137.766
0.427515646,0,-56.3557,-133.097
0.429515450,0,-56.6148,-128.415
0.431515501,0,-56.8646,-123.718
0.433515499,0,-57.105,-119.008
0.435515500,0,-57.3359,-114.286
0.437515833,0,-57.5574,-109.55
0.439515581,0,-57.7694,-104.805
0.441515386,0,-57.9718,-100.048
0.443515503,0,-58.1648,-95.2797
0.445533254,0,-58.3497,-90.4597
0.447532420,0,-58.5234,-85.6747
0.449532276,0,-58.6875,-80.8793
0.451534159,0,-58.8422,-76.0708
0.453583644,0,-58.9905,-71.1399
0.455576782,0,-59.1252,-66.3373
0.457577970,0,-59.2507,-61.5086
0.459519498,0,-59.3632,-56.8179
0.462515131,0,-59.5163,-49.5718
0.464514608,0,-59.6082,-44.7281
0.466514670,0,-59.6904,-39.8786
0.468514422,0,-59.7629,-35.0258
0.470514607,0,-59.8256,-30.1685
0.472515171,0,-59.8787,-25.3074
0.474514563,0,-59.922,-20.4466
0.476515119,0,-59.9556,-15.5809
0.478514515,0,-59.9795,-10.7166
0.480515156,0,-59.9936,-5.84814
0.482514444,0,-59.998,-0.982421
0.484514935,0,-59.9926,3.88632
0.486514382,0,-59.9776,8.75214
0.488514874,0,-59.9528,13.6196
0.490514307,0,-59.9182,18.4832
0.492514858,0,-59.874,23.3477
0.494514234,0,-59.82,28.2071
0.496514875,0,-59.7563,33.0667
0.498514196,0,-59.6829,37.9199
0.500514987,0,-59.5997,42.7728
0.502514491,0,-59.5069,47.6184
0.504514740,0,-59.4044,52.4611
0.506514316,0,-59.2923,57.2969
0.508514709,0,-59.1704,62.129
0.510514353,0,-59.0389,66.953
0.512514095,0,-58.8978,71.7705
0.514514424,0,-58.747,76.5821
0.516513936,0,-58.5867,81.384
0.518514263,0,-58.4167,86.1795
0.520513994,0,-58.2372,90.9648
0.522514208,0,-58.0481,95.7418
0.524513902,0,-57.8495,100.508
0.526513652,0,-57.6414,105.263
0.528512355,0,-57.4239,110.005
0.530512818,0,-57.1967,114.74
0.532512320,0,-56.9602,119.46
0.534512594,0,-56.7142,124.169
0.536513256,0,-56.4587,128.866
0.538530905,0,-56.1916,133.588
0.540529809,0,-55.9175,138.252
0.542529826,0,-55.634,142.904
0.544529455,0,-55.3413,147.538
0.546530153,0,-55.0392,152.159
0.548528694,0,-54.7282,156.758
0.550530405,0,-54.4076,161.346
0.552529359,0,-54.0782,165.91
0.554529733,0,-53.7395,170.458
0.556528856,0,-53.3919,174.983
0.558529044,0,-53.0352,179.49
0.560529973,0,-52.6693,183.978
0.562528531,0,-52.2949,188.438
0.564529160,0,-51.9112,192.881
0.566529994,0,-51.5187,197.3
0.568512055,0,-51.1211,201.655
0.570528455,0,-50.7079,206.06
0.572528875,0,-50.2891,210.404
0.574528893,0,-49.8618,214.722
0.576529002,0,-49.4259,219.012
0.578543860,0,-48.9782,223.306
0.580519180,0,-48.5309,227.487
0.582519617,0,-48.0695,231.692
0.584527725,0,-47.5979,235.883
0.586527342,0,-47.12,240.025
0.588529973,0,-46.6331,244.141
0.590530968,0,-46.1385,248.221
0.592526180,0,-45.6372,252.255
0.594527379,0,-45.1263,256.267
0.596530769,0,-44.6069,260.248
0.598530364,0,-44.0806,264.185
0.600542892,0,-43.543,268.111
0.602526591,0,-43.0055,271.942
0.604525865,0,-42.456,275.764
0.606526934,0,-41.8985,279.55
0.608525871,0,-41.3341,283.291
0.610527802,0,-40.7614,286.997
0.612530450,0,-40.1811,290.661
0.614529658,0,-39.5946,294.275
0.616529430,0,-39.0008,297.846
0.618529911,0,-38.3996,301.372
0.620575446,0,-37.7777,304.931
0.622529808,0,-37.1768,308.284
0.624587143,0,-36.5372,311.765
0.626580939,0,-35.9106,315.089
0.628529626,0,-35.2919,318.289
0.630596012,0,-34.629,321.63
0.632574507,0,-33.988,324.777
0.634529210,0,-33.3487,327.836
0.636578914,0,-32.6719,330.988
0.638577845,0,-32.0057,334.007
0.640529713,0,-31.3495,336.901
0.642529425,0,-30.6714,339.811
0.644582969,0,-29.9691,342.739
0.646529562,0,-29.298,345.458
0.648578311,0,-28.5859,348.26
0.650583558,0,-27.8835,350.941
0.652528923,0,-27.1971,353.484
0.654575982,0,-26.4694,356.097
0.656578682,0,-25.7525,358.59
0.658529487,0,-25.0495,360.957
0.660579355,0,-24.3059,363.379
0.662595110,0,-23.5699,365.694
0.664585004,0,-22.8389,367.914
0.666527890,0,-22.121,370.018
0.668528172,0,-21.3777,372.118
0.670525925,0,-20.6312,374.147
0.672524784,0,-19.8804,376.109
0.674525179,0,-19.1252,378.004
0.676524579,0,-18.3667,379.827
0.678524763,0,-17.6043,381.581
0.680524668,0,-16.8386,383.263
0.682525209,0,-16.0695,384.873
0.684524492,0,-15.2977,386.41
0.686524607,0,-14.5226,387.875
0.688510760,0,-13.7502,389.256
0.690510469,0,-12.9698,390.574
0.692510754,0,-12.1867,391.817
0.694510605,0,-11.4013,392.984
0.696510408,0,-10.6138,394.076
0.698510579,0,-9.82404,395.093
0.700510374,0,-9.03252,396.032
0.702510377,0,-8.23915,396.896
0.704512250,0,-7.44342,397.683
0.706526616,0,-6.64125,398.396
0.708524650,0,-5.84429,399.026
0.710524887,0,-5.0453,399.579
0.712524750,0,-4.24548,400.054
0.714524675,0,-3.4448,400.45
0.716524251,0,-2.64358,400.768
0.718514014,0,-1.84578,401.007
0.720524852,0,-1.03916,401.169
0.722525157,0,-0.23657,401.251
0.724524328,0,0.565615,401.255
0.726524432,0,1.36806,401.18
0.728524311,0,2.17015,401.026
0.730524654,0,2.972,400.793
0.732524035,0,3.77289,400.482
0.734524189,0,4.57334,400.093
0.736523912,0,5.37272,399.625
0.738524276,0,6.17131,399.079
0.740524059,0,6.96846,398.456
0.742524407,0,7.76446,397.754
0.744523889,0,8.55861,396.976
0.746524403,0,9.35149,396.12
0.748524113,0,10.1422,395.188
0.750523855,0,10.931,394.179
0.752523721,0,11.7177,393.094
0.754523934,0,12.5022,391.934
0.756523646,0,13.2841,390.698
0.758524019,0,14.0637,389.388
0.760523661,0,14.8403,388.004
0.762523759,0,15.6142,386.546
0.764523439,0,16.3848,385.015
0.766523652,0,17.1526,383.411
0.768523835,0,17.9169,381.736
0.770523631,0,18.6777,379.989
0.772523485,0,19.4349,378.172
0.774523911,0,20.1886,376.283
0.776517024,0,20.9357,374.333
0.778524165,0,21.684,372.3
0.780523439,0,22.4252,370.208
0.782523382,0,23.1623,368.047
0.784523396,0,23.8951,365.819
0.786523879,0,24.6235,363.526
0.788523144,0,25.3467,361.169
0.790523902,0,26.0657,358.746
0.792523367,0,26.7793,356.261
0.794528534,0,27.4898,353.706
0.796526633,0,28.1927,351.099
0.798527213,0,28.8911,348.428
0.800526433,0,29.5836,345.698
0.802493848,0,30.2597,342.954
0.804526536,0,30.9524,340.061
0.806526223,0,31.628,337.156
0.808526248,0,32.2979,334.194
0.810526605,0,32.9619,331.177
0.812523382,0,33.6186,328.11
0.814523637,0,34.2702,324.984
0.816604159,0,34.9412,321.678
0.818525750,0,35.5549,318.573
0.820533051,0,36.1894,315.28
0.822519581,0,36.8108,311.972
0.824528758,0,37.4324,308.576
0.826533031,0,38.0457,305.141
0.828532491,0,38.6506,301.666
0.830533620,0,39.249,298.142
0.832528462,0,39.8384,294.584
0.834533234,0,40.4236,290.964
0.836528601,0,40.9987,287.317
0.838533363,0,41.5691,283.61
0.840528487,0,42.1293,279.88
0.842529158,0,42.6836,276.098
0.844528666,0,43.2299,272.278
0.846528884,0,43.7688,268.419
0.848528578,0,44.2997,264.522
0.850533831,0,44.8241,260.577
0.852528304,0,45.3379,256.617
0.854533253,0,45.8464,252.6
0.856532327,0,46.3453,248.561
0.858533527,0,46.8366,244.483
0.860528532,0,47.3182,240.386
0.862533277,0,47.7938,236.236
0.864532216,0,48.2598,232.067
0.866533478,0,48.7179,227.863
0.868527960,0,49.1661,223.644
0.870532398,0,49.6079,219.375
0.872528632,0,50.0394,215.095
0.874533299,0,50.4641,210.77
0.876528766,0,50.8782,206.439
0.878528213,0,51.2844,202.073
0.880527973,0,51.6819,197.682
0.882532987,0,52.0716,193.255
0.884528249,0,52.4506,188.826
0.886532958,0,52.8224,184.354
0.888528218,0,53.1835,179.881
0.890532854,0,53.5373,175.366
0.892527974,0,53.8804,170.851
0.894527536,0,54.2152,166.307
0.896527663,0,54.541,161.742
0.898532965,0,54.8584,157.148
0.900527527,0,55.165,152.559
0.902528549,0,55.4633,147.939
0.904532747,0,55.7528,143.296
0.906532403,0,56.0324,138.646
0.908527801,0,56.3021,133.992
0.910528629,0,56.5631,129.31
0.912527507,0,56.8145,124.619
0.914528305,0,57.0568,119.91
0.916527557,0,57.2894,115.191
0.918532388,0,57.5132,110.448
0.920528134,0,57.7266,105.714
0.922533029,0,57.9313,100.947
0.924527447,0,58.1255,96.1948
0.926532108,0,58.3112,91.4081
0.928530721,0,58.4867,86.6264
0.930527969,0,58.6525,81.839
0.932527689,0,58.809,77.0375
0.934532301,0,58.9561,72.2163
0.936531115,0,59.0932,67.4017
0.938531954,0,59.2209,62.5755
0.940527518,0,59.3385,57.7557
0.942527164,0,59.4467,52.9202
0.944527851,0,59.5453,48.077
0.946532363,0,59.6344,43.2197
0.948527468,0,59.7134,38.3809
0.950527316,0,59.7828,33.5269
0.952530617,0,59.8426,28.6611
0.954532952,0,59.8927,23.7948
0.956527055,0,59.9329,18.9463
0.958528544,0,59.9635,14.0778
0.960531531,0,59.9843,9.20441
0.962531662,0,59.9954,4.33701
0.964527223,0,59.9968,-0.519683
0.966531141,0,59.9884,-5.39667
0.968531371,0,59.9703,-10.2641
0.970531780,0,59.9425,-15.1311
0.972526239,0,59.905,-19.982
0.974522730,0,59.8579,-24.8359
0.976527337,0,59.8008,-29.7072
0.978531327,0,59.7339,-34.5739
0.980527155,0,59.6576,-39.4175
0.982532607,0,59.5712,-44.2805
0.984532099,0,59.4754,-49.1246
0.986531555,0,59.3699,-53.9637
0.988527069,0,59.255,-58.788
0.990527761,0,59.1301,-63.6188
0.992526676,0,58.9957,-68.439
0.994531216,0,58.8513,-73.2658
0.996526048,0,58.6979,-78.0619
0.998528901,0,58.5343,-82.8692
1.000525418,0,58.3617,-87.6529
1.002527833,0,58.179,-92.4417
1.004526716,0,57.987,-97.2125
1.006531763,0,57.7849,-101.988
1.008526834,0,57.5744,-106.729
1.010531750,0,57.3532,-111.482
1.012530800,0,57.1232,-116.21
1.014531157,0,56.8837,-120.928
1.016531347,0,56.6347,-125.633
1.018531492,0,56.3764,-130.324
1.020526524,0,56.1094,-134.989
1.022527343,0,55.8323,-139.653
1.024526332,0,55.5462,-144.297
1.026531486,0,55.2498,-148.94
1.028530822,0,54.9451,-153.552
1.030526620,0,54.6318,-158.139
1.032526227,0,54.3087,-162.717
1.034527368,0,53.9762,-167.28
1.036529991,0,53.6343,-171.827
1.038527660,0,53.2843,-176.343
1.040526056,0,52.9251,-180.84
1.042527182,0,52.5565,-185.321
1.044525837,0,52.1794,-189.775
1.046525064,0,51.7934,-194.208
1.048525839,0,51.3982,-198.62
1.050526128,0,50.9943,-203.007
1.052521204,0,50.5828,-207.358
1.054521386,0,50.1615,-211.694
1.056598524,0,49.7148,-216.169
1.058523211,0,49.2928,-220.289
1.060527904,0,48.8448,-224.553
1.062599705,0,48.3727,-228.929
1.064595461,0,47.9096,-233.114
1.066522230,0,47.4546,-237.125
1.068595500,0,46.9563,-241.409
1.070509919,0,46.4885,-245.334
1.072527254,0,45.9874,-249.437
1.074522712,0,45.4836,-253.461
1.076529426,0,44.969,-257.474
1.078536620,0,44.4462,-261.451
1.080588354,0,43.9035,-265.479
1.082574301,0,43.3705,-269.34
1.084523948,0,42.8399,-273.094
1.086526751,0,42.2872,-276.911
1.088582890,0,41.7119,-280.788
1.090521767,0,41.1622,-284.404
1.092511531,0,40.5908,-288.074
1.094614371,0,39.979,-291.908
1.096521355,0,39.4174,-295.341
1.098520855,0,38.8215,-298.898
1.100521328,0,38.2183,-302.411
1.102523822,0,37.6075,-305.881
1.104507444,0,36.9957,-309.271
1.106511239,0,36.3709,-312.647
1.108523860,0,35.7366,-315.989
1.110523922,0,35.0997,-319.259
1.112523313,0,34.4566,-322.477
1.114527404,0,33.8055,-325.65
1.116522832,0,33.1511,-328.757
1.118523451,0,32.4887,-331.818
1.120522329,0,31.821,-334.822
1.122523146,0,31.1466,-337.773
1.124522606,0,30.4669,-340.665
1.126538164,0,29.776,-343.522
1.128522804,0,29.0901,-346.278
1.130522962,0,28.3934,-348.996
1.132522645,0,27.6915,-351.653
1.134523017,0,26.9842,-354.25
1.136522636,0,26.272,-356.784
1.138523049,0,25.5546,-359.257
1.140523100,0,24.8324,-361.666
1.142508305,0,24.111,-363.993
1.144522812,0,23.3742,-366.289
1.146522570,0,22.6384,-368.502
1.148522665,0,21.8981,-370.649
1.150522939,0,21.1536,-372.728
1.152522580,0,20.4052,-374.739
1.154523048,0,19.6527,-376.682
1.156522610,0,18.8967,-378.555
1.158522479,0,18.1369,-380.357
1.160523194,0,17.3733,-382.09
1.162522936,0,16.6067,-383.75
1.164522389,0,15.837,-385.338
1.166522180,0,15.0641,-386.853
1.168522111,0,14.2883,-388.296
1.170522225,0,13.5096,-389.664
1.172522200,0,12.7283,-390.959
1.174523005,0,11.9443,-392.179
1.176527396,0,11.1564,-393.326
1.178523601,0,10.3697,-394.392
1.180524346,0,9.5791,-395.385
1.182522776,0,8.78757,-396.301
1.184521864,0,7.99406,-397.14
1.186522746,0,7.19827,-397.903
1.188521641,0,6.40187,-398.587
1.190524648,0,5.60258,-399.195
1.192518664,0,4.80577,-399.723
1.194505483,0,4.01092,-400.172
