Time (s),Torque (Nm),Position (rad),Velocity (rad/s)
0.003605040,0,1.04707,-0.0847757
0.005611992,0,1.04677,-0.170019
0.007605121,0,1.04631,-0.254658
0.009603617,0,1.04567,-0.3395
0.011604200,0,1.04486,-0.424398
0.013608157,0,1.04389,-0.509396
0.015590807,0,1.04275,-0.593442
0.017606623,0,1.04143,-0.678834
0.019607459,0,1.03994,-0.763524
0.021607377,0,1.03829,-0.848099
0.023605043,0,1.03647,-0.932495
0.025607172,0,1.03447,-1.01699
0.027604621,0,1.03231,-1.10118
0.029607322,0,1.02998,-1.18548
0.031609281,0,1.02748,-1.26963
0.033607966,0,1.02482,-1.35352
0.035590617,0,1.02201,-1.43659
0.037608483,0,1.01899,-1.521
0.039607898,0,1.01582,-1.60447
0.041608250,0,1.01248,-1.68782
0.043608224,0,1.00898,-1.77098
0.045608035,0,1.00532,-1.85394
0.047608541,0,1.00149,-1.93674
0.049603967,0,0.997497,-2.01913
0.051604539,0,0.993334,-2.10151
0.053603716,0,0.98901,-2.18362
0.055594557,0,0.984541,-2.26514
0.057603468,0,0.979866,-2.34716
0.059604071,0,0.975049,-2.42859
0.061603381,0,0.970071,-2.50969
0.063604330,0,0.964928,-2.59058
0.065603263,0,0.959629,-2.6711
0.067603752,0,0.954165,-2.75139
0.069603218,0,0.948544,-2.83132
0.071603416,0,0.942761,-2.91096
0.073607484,0,0.936808,-2.99042
0.075604371,0,0.930718,-3.06924
0.077607669,0,0.924451,-3.14796
0.079603429,0,0.918052,-3.22601
0.081602586,0,0.911486,-3.30382
0.083602835,0,0.904761,-3.38127
0.085602525,0,0.897884,-3.45828
0.087602196,0,0.890854,-3.53488
0.089602638,0,0.883668,-3.61107
0.091602692,0,0.876332,-3.6868
0.093602607,0,0.868846,-3.76205
0.095602655,0,0.861209,-3.83684
0.097710294,0,0.852999,-3.91513
0.099605621,0,0.845479,-3.98505
0.101605307,0,0.8374,-4.05831
0.103604260,0,0.829179,-4.13102
0.105602853,0,0.820814,-4.20316
0.107603575,0,0.812297,-4.27483
0.109603043,0,0.803643,-4.34587
0.111603474,0,0.794844,-4.41636
0.113606902,0,0.785891,-4.48634
0.115604613,0,0.776824,-4.55551
0.117606947,0,0.7676,-4.6242
0.119604365,0,0.758261,-4.69207
0.121607370,0,0.748762,-4.75946
0.123604862,0,0.739155,-4.82598
0.125606394,0,0.729397,-4.89194
0.127604420,0,0.719525,-4.95707
0.129603735,0,0.709517,-5.02152
0.131604013,0,0.699377,-5.08525
0.133606778,0,0.689098,-5.14829
0.135603826,0,0.678723,-5.21038
0.137607296,0,0.668192,-5.27187
0.139603700,0,0.657576,-5.33234
0.141607288,0,0.646802,-5.3922
0.143604285,0,0.635946,-5.45101
0.145606800,0,0.624943,-5.50914
0.147595570,0,0.613902,-5.56599
0.149607149,0,0.60262,-5.6226
0.151604303,0,0.591307,-5.6779
0.153605271,0,0.579864,-5.73238
0.155603798,0,0.568328,-5.78585
0.157610068,0,0.55664,-5.83857
0.159604489,0,0.544919,-5.89001
0.161603410,0,0.533069,-5.94059
0.163603059,0,0.521115,-5.99018
0.165611282,0,0.509012,-6.03896
0.167603870,0,0.496908,-6.08633
0.169603226,0,0.484669,-6.13282
0.171603812,0,0.472332,-6.17827
0.173609910,0,0.459871,-6.22277
0.175604275,0,0.447395,-6.26591
0.177602995,0,0.434808,-6.30804
0.179605928,0,0.422112,-6.34915
0.181606808,0,0.409348,-6.38907
0.183603620,0,0.396532,-6.42776
0.185596029,0,0.383669,-6.46522
0.187603222,0,0.370637,-6.50177
0.189606289,0,0.35756,-6.53706
0.191670126,0,0.344014,-6.57217
0.193676065,0,0.330781,-6.60505
0.195603596,0,0.318006,-6.63547
0.197617290,0,0.304597,-6.66604
0.199607935,0,0.291284,-6.69502
0.201607045,0,0.277858,-6.72286
0.203605749,0,0.264381,-6.74944
0.205611509,0,0.250805,-6.77483
0.207605607,0,0.237259,-6.79878
0.209611799,0,0.223585,-6.82159
0.211606847,0,0.209943,-6.84296
0.213607277,0,0.196224,-6.86308
0.215607023,0,0.182471,-6.88188
0.217606973,0,0.168681,-6.89935
0.219605429,0,0.154869,-6.91547
0.221607517,0,0.141001,-6.93029
0.223606323,0,0.127128,-6.94373
0.225606580,0,0.113221,-6.95583
0.227604660,0,0.099306,-6.96657
0.229599833,0,0.0853922,-6.97593
